country,nb_of_players,nb_of_achievements
unknown,18101397,17655450
United States,5747358,5637801
Germany,2569950,2542343
United Kingdom,2487338,2438708
Brazil,1675037,1624431
Japan,1436270,1419949
Russian Federation,1396568,1369031
France,1220391,1189294
Spain,1153414,1116005
Canada,1087419,1070649
Portugal,653535,644944
Poland,632557,616938
Italy,596419,586188
Australia,528317,519603
Hong Kong,490844,485256
China,487573,476366
Belgium,337932,332510
Netherlands,333137,326264
Finland,326117,322229
Norway,292031,288235
Luxembourg,276852,276558
Saudi Arabia,283095,273947
Türkiye,283410,273316
Argentina,284725,270245
Mexico,271478,263446
Austria,245847,243324
Czechia,218615,215561
United Arab Emirates,215920,213881
Ukraine,150785,146080
Switzerland,129253,126761
Sweden,128328,121381
Chile,126558,119943
Greece,110100,107732
Denmark,108327,103716
Bulgaria,101326,100456
"Taiwan, Province of China",101611,99921
"Korea, Republic of",101002,98653
Hungary,99959,97830
Singapore,95236,93840
Indonesia,96382,93539
Romania,92442,87325
Ireland,87774,85241
Albania,84565,84295
"Iran, Islamic Republic of",82597,82169
Thailand,78178,75261
Estonia,66531,66028
Cyprus,66146,65900
India,67385,64461
Colombia,62849,60409
Israel,57305,55233
Peru,51475,49376
Bosnia and Herzegovina,49169,48880
Serbia,47620,46717
New Zealand,46707,45043
Croatia,39599,38737
Malaysia,33370,31683
Kazakhstan,26934,25684
Latvia,25895,25336
South Africa,23237,21987
Uruguay,22409,21489
Iceland,20629,20132
Azerbaijan,19730,19539
Costa Rica,20512,19264
Kuwait,19078,18596
United States Minor Outlying Islands,16018,15665
Belarus,15004,14269
Lithuania,14021,13240
Viet Nam,12446,11188
Ecuador,11458,10793
Malta,10247,10076
Slovakia,11239,10007
Antarctica,10258,9821
Philippines,11024,8995
Niger,9798,8761
Paraguay,7983,7559
Isle of Man,7696,7515
Bahrain,7403,7265
Côte d'Ivoire,7311,7251
Panama,7394,7000
Cocos (Keeling) Islands,7298,6790
Nepal,6904,6782
Iraq,6405,6144
Botswana,5833,5779
Norfolk Island,5521,5475
Haiti,5409,5355
Guatemala,5606,5271
"Palestine, State of",5122,4930
Slovenia,5123,4746
Egypt,4714,4433
Chad,4585,4395
Afghanistan,4855,4328
"Venezuela, Bolivarian Republic of",4678,4203
Heard Island and McDonald Islands,4361,4091
Cook Islands,4091,3846
El Salvador,4000,3708
Christmas Island,3733,3388
Faroe Islands,3274,3170
"Bolivia, Plurinational State of",3452,3147
Nigeria,3282,3079
Holy See (Vatican City State),3474,3059
Niue,3071,3040
Djibouti,3126,3016
American Samoa,3045,2946
Tokelau,2900,2879
"Virgin Islands, U.S.",2984,2755
Tunisia,2743,2603
Georgia,2814,2513
Congo,2716,2371
Lebanon,2394,2176
Monaco,2282,2080
South Georgia and the South Sandwich Islands,2214,2031
Belize,1987,1944
"Moldova, Republic of",2030,1857
Uganda,2135,1814
Qatar,1950,1689
Turks and Caicos Islands,1703,1668
Mauritania,1561,1552
Bermuda,1587,1522
Suriname,1517,1496
"Korea, Democratic People's Republic of",1754,1447
Pitcairn,1458,1433
Wallis and Futuna,1441,1408
Uzbekistan,1457,1293
"Micronesia, Federated States of",1252,1190
Western Sahara,1247,1176
Cuba,1430,1170
Zimbabwe,1580,1137
Honduras,1362,1122
Ghana,1125,1089
Tajikistan,1082,1026
Bahamas,1141,1025
"Congo, The Democratic Republic of the",1201,999
Jamaica,1253,885
Liechtenstein,920,870
Lao People's Democratic Republic,861,814
Madagascar,924,783
Greenland,851,768
Puerto Rico,880,761
Guadeloupe,781,755
Gibraltar,753,714
Montenegro,738,651
Myanmar,744,597
Armenia,721,588
Jordan,767,586
Lesotho,580,572
Angola,622,519
Eswatini,552,517
Central African Republic,524,438
San Marino,425,382
Sint Maarten (Dutch part),358,345
Curaçao,388,333
Aruba,360,305
Réunion,291,266
Solomon Islands,281,261
Morocco,435,231
Northern Mariana Islands,266,226
Sri Lanka,347,214
Nicaragua,320,210
Pakistan,613,180
Antigua and Barbuda,211,175
Macao,228,164
Kenya,215,155
Burkina Faso,198,154
Martinique,160,146
Algeria,438,141
North Macedonia,369,135
"Saint Helena, Ascension and Tristan da Cunha",161,122
Åland Islands,175,122
British Indian Ocean Territory,133,102
Fiji,340,100
Somalia,240,88
Cabo Verde,136,87
Maldives,131,82
Mayotte,99,81
Barbados,98,54
Oman,173,43
Zambia,70,24
Mongolia,203,14
Tuvalu,31,1
Rwanda,26,1
Trinidad and Tobago,36,0
Dominican Republic,101,0
Turkmenistan,44,0
Tonga,26,0
Equatorial Guinea,10,0
Palau,21,0
Togo,40,0
Timor-Leste,20,0
Eritrea,18,0
"Tanzania, United Republic of",24,0
Ethiopia,84,0
Falkland Islands (Malvinas),54,0
Syrian Arab Republic,112,0
Dominica,39,0
Cambodia,85,0
Comoros,15,0
Bhutan,65,0
Andorra,51,0
Anguilla,24,0
Yemen,70,0
Bangladesh,157,0
Benin,10,0
"Virgin Islands, British",82,0
"Bonaire, Sint Eustatius and Saba",39,0
Cayman Islands,39,0
Vanuatu,34,0
Bouvet Island,18,0
Brunei Darussalam,45,0
Burundi,17,0
Svalbard and Jan Mayen,20,0
Cameroon,18,0
French Guiana,13,0
French Southern Territories,14,0
French Polynesia,13,0
Saint Vincent and the Grenadines,42,0
Saint Martin (French part),13,0
Saint Lucia,40,0
Saint Kitts and Nevis,38,0
Libya,39,0
Saint Barthélemy,18,0
Malawi,9,0
Mali,26,0
Marshall Islands,23,0
Mauritius,28,0
Montserrat,9,0
Mozambique,75,0
Namibia,19,0
Nauru,25,0
Papua New Guinea,52,0
New Caledonia,35,0
Saint Pierre and Miquelon,21,0
Samoa,21,0
Sudan,16,0
Kyrgyzstan,122,0
Gabon,51,0
South Sudan,19,0
Gambia,15,0
Grenada,23,0
Guam,31,0
Guernsey,26,0
Guinea,12,0
Guinea-Bissau,24,0
Guyana,18,0
Sierra Leone,24,0
Seychelles,40,0
Jersey,26,0
Senegal,29,0
Kiribati,31,0
Sao Tome and Principe,8,0
Liberia,19,0
